### Energy [MeV],Low dEdx [MeV*cm2/g],High dEdx [MeV*cm2/g]
0.421,27.0456,63.9529
0.422,27.0456,63.8828
0.423,27.0456,63.8127
0.424,27.0456,63.7425
0.425,27.0456,63.6724
0.426,27.0456,63.6022
0.427,27.0456,63.5321
0.428,27.0456,63.4619
0.429,27.0456,63.3917
0.43,27.0456,63.3216
0.431,27.0456,63.2514
0.432,27.0456,63.1812
0.433,27.0456,63.1111
0.434,27.0456,63.0409
0.435,27.0456,62.9708
0.436,27.0456,62.9007
0.437,27.0456,62.8306
0.438,27.0456,62.7605
0.439,27.0456,62.6905
0.44,27.0456,62.6204
0.441,27.0456,62.5504
0.442,27.0456,62.4805
0.443,27.0456,62.4105
0.444,27.0456,62.3406
0.445,27.0456,62.2707
0.446,27.0456,62.2009
0.447,27.0456,62.1311
0.448,27.0456,62.0614
0.449,27.0456,61.9917
0.45,27.0456,61.922
0.451,27.0456,61.8524
0.452,27.0456,61.7829
0.453,27.0456,61.7134
0.454,27.0456,61.6439
0.455,27.0456,61.5677
0.456,27.0456,61.4581
0.457,27.0456,61.3489
0.458,27.0456,61.2399
0.459,27.0456,61.1313
0.46,27.0456,61.0229
0.461,27.0456,60.9149
0.462,27.0456,60.8072
0.463,27.0456,60.6999
0.464,27.0456,60.5928
0.465,27.0456,60.4861
0.466,27.0456,60.3797
0.467,27.0456,60.2736
0.468,27.0456,60.1678
0.469,27.0456,60.0624
0.47,27.0456,59.9595
0.471,27.0456,59.8577
0.472,27.0456,59.7562
0.473,27.0456,59.655
0.474,27.0456,59.5541
0.475,27.0456,59.4535
0.476,27.0456,59.3532
0.477,27.0456,59.256
0.478,27.0456,59.161
0.479,27.0456,59.0662
0.48,27.0456,58.9717
0.481,27.0456,58.8774
0.482,27.0456,58.7833
0.483,27.0456,58.6895
0.484,27.0456,58.5959
0.485,27.0456,58.5025
0.486,27.0456,58.4145
0.487,27.0456,58.3274
0.488,27.0456,58.2406
0.489,27.0456,58.154
0.49,27.0456,58.0676
0.491,27.0456,57.9814
0.492,27.0456,57.8954
0.493,27.0456,57.8096
0.494,27.0456,57.724
0.495,27.0456,57.6387
0.496,27.0456,57.5535
0.497,27.0456,57.4686
0.498,27.0456,57.3838
0.499,27.0456,57.2993
0.5,27.0456,57.2149
0.501,27.0456,57.1308
0.502,27.0456,57.0469
0.503,27.0456,56.9632
0.504,27.0456,56.8797
0.505,27.0456,56.7964
0.506,27.0456,56.7133
0.507,27.0456,56.6304
0.508,27.0456,56.5477
0.509,27.0456,56.4652
0.51,27.0456,56.383
0.511,27.0456,56.3009
0.512,27.0456,56.219
0.513,27.0456,56.1374
0.514,27.0456,56.0559
0.515,27.0456,55.9747
0.516,27.0456,55.8936
0.517,27.0456,55.8128
0.518,27.0456,55.7322
0.519,27.0456,55.6517
0.52,27.0456,55.5715
0.521,27.0456,55.4915
0.522,27.0456,55.4117
0.523,27.0456,55.3321
0.524,27.0456,55.2527
0.525,27.0456,55.1734
0.526,27.0456,55.0944
0.527,27.0456,55.0156
0.528,27.0456,54.937
0.529,27.0456,54.8586
0.53,27.0456,54.7804
0.531,27.0456,54.7024
0.532,27.0456,54.6246
0.533,27.0456,54.547
0.534,27.0456,54.4696
0.535,27.0456,54.3924
0.536,27.0456,54.3154
0.537,27.0456,54.2385
0.538,27.0456,54.1619
0.539,27.0456,54.0855
0.54,27.0456,54.0093
0.541,27.0456,53.9333
0.542,27.0456,53.8574
0.543,27.0456,53.7818
0.544,27.0456,53.7064
0.545,27.0456,53.6311
